Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Custom field (Actual Result),Custom field (Development),Custom field (Expected Result),Custom field (Goals),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
Checkout enabled for out-of-stock items,DG-30,10170,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:05 PM,19/Apr/26 1:05 PM,23/Apr/26 6:58 PM,,,0,"*Steps to Reproduce:*

# Add 'iPod Nano' to cart. 
# Go to Cart page. 
# Click 'Checkout' button.",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,The system allowed the user to proceed to the checkout flow despite the warning.,,The 'Checkout' button should be disabled or an error should prevent proceeding.,,,High,0|i00093:,,,,,To Do,19/Apr/26 1:05 PM
Rating system not working,DG-29,10169,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:04 PM,19/Apr/26 1:04 PM,,,,0,"*Steps to Reproduce:*

# Check ratings/filter",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Missing/incorrect ratings,,Correct ratings + filter,,,High,0|i0008v:,,,,,To Do,19/Apr/26 1:04 PM
Delivery label format issue,DG-27,10167,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:03 PM,19/Apr/26 1:03 PM,,,,0,"*Steps to Reproduce:*

# Check delivery text",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Incorrect/duplicated text,,“2–3 Days” correct,,,Medium,0|i0008n:,,,,,To Do,19/Apr/26 1:03 PM
Preorder button mislabeling,DG-26,10166,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:03 PM,19/Apr/26 1:03 PM,,,,0,"*Steps to Reproduce:*

# Open preorder product",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Wrong/inconsistent buttons,,Correct labels + wishlist,,,High,0|i0008f:,,,,,To Do,19/Apr/26 1:03 PM
Category search not working,DG-25,10165,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:02 PM,19/Apr/26 1:02 PM,,,,0,"*Steps to Reproduce:*

# Search category",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,No correct results,,Category results,,,High,0|i00087:,,,,,To Do,19/Apr/26 1:02 PM
Search partial keyword failure,DG-24,10164,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:01 PM,19/Apr/26 1:01 PM,,,,0,"*Steps to Reproduce:*

# Search partial text",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Missing/incorrect results,,Relevant results,,,High,0|i0007z:,,,,,To Do,19/Apr/26 1:01 PM
Stock/button failure,DG-23,10163,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:00 PM,19/Apr/26 1:00 PM,,,,0,"*Steps to Reproduce:*

# Open product",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Incorrect stock + broken buttons,,Correct stock + working buttons,,,High,0|i0007r:,,,,,To Do,19/Apr/26 1:00 PM
Wrong ad redirection,DG-22,10162,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 1:00 PM,19/Apr/26 1:00 PM,,,,0,"*Steps to Reproduce:*

# Click ads",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Wrong product opens,,Correct product page,,,High,0|i0007j:,,,,,To Do,19/Apr/26 1:00 PM
Wrong product images,DG-21,10161,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 12:59 PM,19/Apr/26 1:00 PM,,,,0,"*Steps to Reproduce:*

# Compare product image/name",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Wrong images shown,,Correct image mapping,,,High,0|i0007b:,,,,,To Do,19/Apr/26 1:00 PM
Category filter broken,DG-20,10160,Bug,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,19/Apr/26 12:59 PM,19/Apr/26 12:59 PM,,,,0,"*Steps to Reproduce:*

# Select category",,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,,,,,,,,,,,,,,,Same items for all categories,,Correct filtered items,,,High,0|i00073:,,,,,To Do,19/Apr/26 12:59 PM
